id,match_id,team_id,scored,conceded,tries,cons,pens,drops
446,293921,88,22,15,,,,
447,294603,84916,13,13,,,,
448,294603,84914,13,13,,,,
449,293916,57,52,25,8,3,0,0
450,293916,7,25,52,3,2,2,0
451,255031,3,13,9,1,1,2,0
452,255031,1,9,13,0,0,3,0
453,293913,94,3,15,,,,
454,293913,13,15,3,,,,
455,293908,7,15,32,2,1,1,0
456,293908,18,32,15,4,2,2,0
457,293911,27,59,0,,,,
458,293911,94,0,59,,,,
459,255021,4,22,9,3,2,1,0
460,255021,3,9,22,0,0,3,0
461,293903,18,10,20,1,1,1,0
462,293903,81,20,10,2,2,2,0
463,293902,81,50,6,8,3,0,0
464,293902,7,6,50,0,0,2,0
465,294015,29,23,12,4,0,1,0
466,294015,33,12,23,0,0,2,0
467,293900,21,18,25,2,1,2,0
468,293900,57,25,18,3,2,2,0
469,293895,7,41,38,5,2,1,1
470,293895,12,38,41,5,2,1,0
471,255007,20,7,33,1,1,0,0
472,255007,4,33,7,3,3,4,0
473,294010,11,29,23,2,2,4,0
474,294010,29,23,29,2,2,2,0
475,294009,33,17,3,2,2,1,0
476,294009,28,3,17,0,0,1,0
477,294413,142722,11,12,,,,
478,294413,24,12,11,,,,
479,294344,177675,72,0,,,,
480,294344,124,0,72,,,,
481,255003,2,27,22,3,3,2,0
482,255003,3,22,27,3,2,1,0
483,281441,1,37,21,4,4,3,0
484,281441,6,21,37,1,1,3,0
485,294347,177675,53,0,,,,
486,294349,177675,24,16,,,,
487,294349,123,16,24,,,,
488,294347,177674,0,53,,,,
489,294415,142722,15,16,,,,
490,294415,64,16,15,,,,
491,255005,1,19,16,1,1,4,0
492,293896,21,6,31,0,0,2,0
493,255005,9,16,19,1,1,3,0
494,293896,81,31,6,4,3,1,0
495,293898,18,16,6,1,1,2,0
496,293898,57,6,16,0,0,2,0
497,255011,4,16,21,1,1,3,0
498,255011,1,21,16,2,1,3,0
499,294013,25,36,15,4,4,1,0
500,294013,28,15,36,2,1,1,0
501,294088,27,21,17,2,1,2,0
502,294088,33,17,21,2,2,1,0
503,282899,4,27,13,2,1,2,0
504,281439,3,27,24,3,3,2,0
505,282899,5,13,27,1,1,2,0
506,281439,6,24,27,2,3,1,0
507,294110,53,39,27,,,,
508,294110,97,27,39,,,,
509,281437,9,23,25,3,1,2,0
510,281437,6,25,23,3,2,2,0
511,281645,3,9,21,0,0,3,0
512,281645,8,21,9,3,3,0,0
513,283749,2,19,16,1,1,2,0
514,294002,18,33,16,4,2,2,0
515,283749,10,16,19,1,1,2,0
516,294002,29,16,33,1,1,2,0
517,294004,12,21,16,2,1,2,0
518,294004,25,16,21,1,1,2,0
519,282895,4,33,30,3,3,3,1
520,282895,23,30,33,3,3,3,0
521,282897,1,58,15,9,5,1,0
522,282897,14,15,58,3,0,0,0
523,294084,26,0,27,,,,
524,294084,57,27,0,,,,
525,281643,3,52,21,8,6,0,0
526,281643,25,21,52,3,3,0,0
527,290625,9,52,8,6,4,2,0
528,293999,12,23,10,2,1,2,0
529,290625,15,8,52,1,0,1,0
530,293999,11,10,23,0,0,0,0
531,287069,20,10,68,1,1,1,0
532,287069,8,68,10,10,4,0,0
533,289305,81,22,28,3,2,1,0
534,289305,23,28,22,2,1,2,0
535,294078,26,51,5,,,,
536,294078,45,5,51,,,,
537,268579,8,41,13,6,4,1,0
538,268579,5,13,41,1,1,2,0
539,289953,177673,26,25,,,,
540,281087,5,30,23,3,3,3,0
541,289953,177675,25,26,,,,
542,281087,10,23,30,2,2,3,0
543,288141,82,60,22,,,,
544,288141,42,22,60,,,,
545,290469,24,53,10,,,,
546,288135,82,56,21,8,2,0,0
547,290469,79,10,53,,,,
548,288135,35,21,56,3,3,0,0
