id,match_id,team_id,pens_attempt,pens_conceded,drops_attempt,kicks,passes,runs,meters,breaks,def_beaten,offloads,rucks_init,rucks_won,mall_init,mall_won,turnovers,tackles_made,tackles_missed,scrums_won_on_feed,scrums_lost_on_feed,lineouts_won_on_throw,lineouts_lost_on_throw,yellow_cards,red_cards
1307,298228,23,6,6,1,19,201,157,503,5,18,4,116,115,2,0,13,176,14,6,0,7,1,0,0
1308,298228,3,0,9,0,19,166,133,318,10,14,6,109,107,4,4,15,171,18,6,1,9,2,0,0
1309,298246,14,0,10,0,19,167,117,465,8,32,7,80,77,5,5,14,72,19,8,0,14,1,2,0
1310,298246,4,1,9,0,23,121,83,384,9,19,5,47,46,5,5,15,126,32,10,0,7,1,2,0
1311,298254,23,2,,0,10,204,150,559,13,33,8,121,114,4,1,14,148,29,6,1,4,1,0,0
1312,298254,2,0,,0,21,163,111,375,11,29,7,90,87,4,4,13,199,33,6,1,11,0,0,0
1313,298247,6,1,,0,10,197,174,535,10,30,7,127,123,8,8,22,47,8,3,0,18,1,1,0
1314,298247,81,1,,0,14,40,47,218,3,8,0,30,27,1,0,11,218,30,9,3,6,5,0,0
1315,298576,5,3,,0,20,141,116,387,8,24,8,91,84,4,4,16,93,16,4,0,11,2,0,0
1316,298576,8,2,,1,21,80,75,260,4,16,1,54,50,8,7,11,147,24,9,0,13,2,0,0
1317,23706,8,6,9,0,35,168,133,579,15,21,18,73,64,0,0,29,58,13,20,0,18,1,0,0
1318,23706,5,3,14,2,43,97,83,373,6,13,11,50,46,0,0,27,108,21,7,1,10,1,0,0
1319,23707,6,7,12,0,29,128,94,351,10,28,6,74,70,0,0,13,82,14,7,0,12,1,1,0
1320,23707,9,4,16,0,18,91,79,292,3,14,6,53,49,0,0,19,115,28,7,0,12,2,1,0
1321,23700,6,8,16,1,54,133,93,421,8,23,9,64,60,0,0,13,114,18,11,0,21,0,0,0
1322,23700,5,6,15,1,50,137,114,436,6,18,16,81,78,0,0,18,94,23,7,0,21,2,0,0
1323,23693,10,7,16,0,26,101,91,343,8,20,14,54,52,0,0,12,113,14,9,0,9,3,2,0
1324,23693,3,7,17,1,26,123,104,388,8,14,13,74,70,0,0,11,80,20,8,1,14,1,0,0
1325,23702,9,3,20,2,34,83,76,453,6,12,6,56,50,0,0,12,91,29,4,1,8,3,2,0
1326,23702,8,4,9,0,23,138,95,456,14,29,15,59,56,0,0,16,75,12,7,1,13,2,0,0
1327,23696,1,7,6,0,31,140,115,545,8,23,14,68,58,0,0,25,45,8,6,0,22,2,0,0
1328,23696,5,5,17,5,54,86,64,228,1,8,11,40,37,0,0,11,92,23,11,2,14,0,0,0
1329,23664,8,4,10,0,25,134,87,569,23,31,8,46,44,0,0,19,77,16,9,0,17,1,0,0
1330,23664,16,3,12,0,23,63,70,244,3,16,8,52,47,0,0,15,88,31,8,1,9,4,2,0
1331,23676,5,0,7,0,21,170,140,469,10,21,25,91,86,0,0,22,44,4,15,0,27,7,0,0
1332,23676,18,1,21,0,39,38,43,133,0,4,2,23,23,0,0,8,142,21,12,4,3,3,2,0
1333,23684,10,7,19,0,28,72,63,272,9,16,7,33,27,0,0,18,86,18,12,1,13,0,0,0
