id,player_id,team_id,match_id,time,action_type,extra_info
7831,27163,20,175505,66,pens,
7832,27163,20,175503,70,cons,
7833,14635,20,175503,27,pens,
7834,147628,2,175505,6,tries,
7835,14504,2,175505,15,tries,
7836,15434,2,175505,80,tries,
7837,117765,15,175503,20,tries,
7838,27669,2,175505,6,cons,
7839,112275,15,175503,41,tries,
7840,27669,2,175505,16,cons,
7841,91540,15,175503,53,tries,
7842,27669,2,175505,80,cons,
7843,142929,15,175503,63,tries,
7844,27669,2,175505,20,pens,
7845,91470,15,175503,72,tries,
7846,27669,2,175505,36,pens,
7847,117765,15,175503,21,cons,
7848,27669,2,175505,41,pens,
7849,117765,15,175503,53,cons,
7850,117765,15,175503,64,cons,
7851,98749,15,175503,73,cons,
7852,117765,15,175503,30,pens,
7853,117765,15,175503,51,pens,
7854,142928,15,175501,6,tries,
7855,117561,15,175501,11,tries,
7856,117561,15,175501,62,tries,
7857,142928,15,175501,8,cons,
7858,142928,15,175501,13,cons,
7859,142928,15,175501,64,cons,
7860,142928,15,175501,53,pens,
7861,142928,15,175501,69,pens,
7862,14504,2,175501,49,tries,
7863,27669,2,175501,10,pens,
7864,27669,2,175501,18,pens,
7865,27669,2,175501,31,pens,
7866,27669,2,175501,41,pens,
7867,158701,3,299248,4,tries,
7868,158701,3,299248,42,tries,
7869,158703,3,299248,32,tries,
7870,294481,3,299248,45,tries,
7871,294481,3,299248,63,tries,
7872,294481,3,299248,80,tries,
7873,15961,3,299248,55,tries,
7874,212583,3,299248,65,tries,
7875,255103,3,299248,5,cons,
7876,255103,3,299248,33,cons,
7877,255103,3,299248,43,cons,
7878,255103,3,299248,46,cons,
7879,255103,3,299248,57,cons,
7880,212589,3,299248,64,cons,
7881,212589,3,299248,67,cons,
7882,158745,20,299248,38,tries,
7883,230219,20,299248,40,cons,
7884,15818,9,93502,21,pens,
7885,15590,6,93504,11,tries,
7886,301558,28,302006,53,tries,
7887,15818,9,93502,33,pens,
7888,110286,6,93504,75,tries,
