id,date,match_type,match_id,team_id,scored,conceded,tries,cons,pens,drops,name,pos,pts,opp_name,opp_pos,opp_pts
3,2019-02-24,1,295106,3,26,16,4.0,3.0,0.0,0.0,Ireland,2,89.91963,Italy,15,72.74671
33,2018-02-17,3,298609,33,5,45,1.0,0.0,0.0,0.0,Brazil,25,56.808834,Canada,21,60.153362
25,2018-02-17,3,298609,25,45,5,7.0,2.0,0.0,0.0,Canada,21,60.153362,Brazil,25,56.808834
25,2019-02-22,1,301200,25,56,0,6.0,3.0,3.0,0.0,Canada,21,61.35838,Chile,29,54.36496700000001
28,2019-02-22,1,301200,28,0,56,0.0,0.0,0.0,0.0,Chile,29,54.36496700000001,Canada,21,61.35838
27,2019-02-16,1,300912,27,65,5,,,,,Portugal,28,57.08341,Poland,33,52.2899
13,2019-02-16,1,300912,13,5,65,,,,,Poland,33,52.2899,Portugal,28,57.08341
23,2017-11-18,3,296954,23,39,6,5.0,2.0,2.0,0.0,Japan,11,73.788666,Tonga,14,71.72466
12,2019-02-16,1,300911,12,38,10,6.0,2.0,0.0,0.0,Romania,18,64.95011,Germany,27,57.15430500000001
81,2019-02-17,1,300913,81,24,10,4.0,2.0,0.0,0.0,Georgia,12,73.92572,Spain,20,63.234486
18,2019-02-17,1,300913,18,10,24,2.0,0.0,0.0,0.0,Spain,20,63.234486,Georgia,12,73.92572
16,2017-11-18,3,296954,16,6,39,0.0,0.0,2.0,0.0,Tonga,14,71.72466,Japan,11,73.788666
7,2019-02-16,1,300911,7,10,38,1.0,1.0,1.0,0.0,Germany,27,57.15430500000001,Romania,18,64.95011
27,2018-11-24,1,301025,27,23,29,2.0,2.0,2.0,0.0,Portugal,24,58.301563,Namibia,23,59.120018
82,2018-11-24,1,301025,82,29,23,4.0,2.0,1.0,0.0,Namibia,23,59.120018,Portugal,24,58.301563
3,2018-11-17,1,299414,3,16,9,1.0,1.0,3.0,0.0,Ireland,2,90.12082,New Zealand,1,93.58138
8,2018-11-17,1,299414,8,9,16,0.0,0.0,2.0,1.0,New Zealand,1,93.58138,Ireland,2,90.12082
4,2018-11-17,1,299077,4,74,24,9.0,8.0,2.0,0.0,Wales,3,86.6979,Tonga,12,73.839066
56,2018-11-17,1,300900,56,17,5,,,,,Switzerland,33,53.2544,Czechia,36,49.972496
16,2018-11-17,1,299077,16,24,74,3.0,3.0,1.0,0.0,Tonga,12,73.839066,Wales,3,86.6979
91,2018-11-17,1,300900,91,5,17,,,,,Czechia,36,49.972496,Switzerland,33,53.2544
9,2018-11-10,1,299412,9,26,29,2.0,2.0,3.0,1.0,France,8,79.103096,South Africa,5,83.034904
4,2018-11-10,1,299076,4,9,6,0.0,0.0,3.0,0.0,Wales,3,86.34676,Australia,6,82.85811
5,2018-11-10,1,299412,5,29,26,1.0,2.0,5.0,0.0,South Africa,5,83.034904,France,8,79.103096
6,2018-11-10,1,299076,6,6,9,0.0,0.0,2.0,0.0,Australia,6,82.85811,Wales,3,86.34676
3,2018-11-10,1,299411,3,28,17,3.0,2.0,3.0,0.0,Ireland,2,90.12082,Argentina,9,78.00573
10,2018-11-10,1,299411,10,17,28,0.0,0.0,4.0,0.0,Argentina,9,78.00573,Ireland,2,90.12082
2,2018-11-10,1,298663,2,54,17,7.0,4.0,0.0,0.0,Scotland,7,82.60938,Fiji,10,76.54219
20,2018-11-10,1,299413,20,28,17,4.0,1.0,2.0,0.0,Italy,14,72.56139,Georgia,13,73.13173
14,2018-11-10,1,298663,14,17,54,2.0,2.0,1.0,0.0,Fiji,10,76.54219,Scotland,7,82.60938
1,2018-11-10,1,296610,1,15,16,2.0,1.0,0.0,1.0,England,4,86.1624,New Zealand,1,92.96127
81,2018-11-10,1,299413,81,17,28,2.0,1.0,1.0,0.0,Georgia,13,73.13173,Italy,14,72.56139
139,2018-11-10,1,300896,139,22,34,,,,,Cyprus,-1,-1.0,Israel,62,41.788982
12,2018-11-10,1,300888,12,36,6,6.0,3.0,0.0,0.0,Romania,17,68.24618000000001,Portugal,24,58.301563
8,2018-11-10,1,296610,8,16,15,1.0,1.0,2.0,1.0,New Zealand,1,92.96127,England,4,86.1624
72,2018-11-10,1,300896,72,34,22,,,,,Israel,62,41.788982,Cyprus,-1,-1.0
27,2018-11-10,1,300888,27,6,36,0.0,0.0,1.0,1.0,Portugal,24,58.301563,Romania,17,68.24618000000001
89,2018-11-10,1,300895,89,24,48,,,,,Hungary,64,40.738506,Ukraine,37,49.636204
80,2018-11-03,1,300892,80,27,14,,,,,Andorra,76,37.202675,Slovakia,-1,-1.0
134,2018-11-03,1,300892,134,14,27,,,,,Slovakia,-1,-1.0,Andorra,76,37.202675
134,2018-11-10,1,300897,134,10,37,,,,,Slovakia,-1,-1.0,Serbia and Montenegro,-1,-1.0
47,2018-11-10,1,300897,47,37,10,,,,,Serbia and Montenegro,-1,-1.0,Slovakia,-1,-1.0
84,2018-11-10,1,300895,84,48,24,,,,,Ukraine,37,49.636204,Hungary,64,40.738506
1,2018-11-03,1,296609,1,12,11,0.0,0.0,4.0,0.0,England,4,85.67834,South Africa,5,83.51897
5,2018-11-03,1,296609,5,11,12,0.0,0.0,2.0,0.0,South Africa,5,83.51897,England,4,85.67834
94,2018-11-03,1,300890,94,16,31,,,,,Moldova,49,45.611523,Hungary,69,38.752617
89,2018-11-03,1,300890,89,31,16,,,,,Hungary,69,38.752617,Moldova,49,45.611523
4,2018-11-03,1,298662,4,21,10,2.0,1.0,2.0,0.0,Wales,3,85.93894,Scotland,6,83.01720999999998
85,2018-10-27,1,300886,85,20,26,,,,,Austria,79,35.908173,Latvia,58,42.825058
87,2018-10-27,1,300886,87,26,20,,,,,Latvia,58,42.825058,Austria,79,35.908173
2,2018-11-03,1,298662,2,10,21,1.0,1.0,1.0,0.0,Scotland,6,83.01720999999998,Wales,3,85.93894
108,2018-10-27,1,300884,108,41,7,,,,,Malta,39,49.47828300000001,Bosnia and Herzegovina,-1,-1.0
88,2018-10-27,1,300884,88,7,41,,,,,Bosnia and Herzegovina,-1,-1.0,Malta,39,49.47828300000001
39,2018-08-04,1,298562,39,67,12,,,,,Uganda,37,49.268524,Tunisia,40,48.42814600000001
64,2018-08-04,1,298562,64,12,67,,,,,Tunisia,40,48.42814600000001,Uganda,37,49.268524
7,2018-07-14,1,299065,7,28,42,2.0,0.0,0.0,0.0,Germany,29,55.626484,Samoa,17,68.23689
62,2018-07-14,1,298561,62,31,29,,,,,Zambia,71,38.14736,Madagascar,45,46.76409
15,2018-07-14,1,299065,15,42,28,8.0,7.0,0.0,0.0,Samoa,17,68.23689,Germany,29,55.626484
52,2018-07-14,1,298561,52,29,31,,,,,Madagascar,45,46.76409,Zambia,71,38.14736
281615,2018-08-11,1,300329,281615,27,39,,,,,Honduras,-1,-1.0,Panama,-1,-1.0
64,2018-07-07,1,298555,64,18,14,,,,,Tunisia,42,47.76124,Zimbabwe,44,47.430325
42,2018-07-07,1,298555,42,14,18,,,,,Zimbabwe,44,47.430325,Tunisia,42,47.76124
62,2018-07-08,1,298557,62,32,13,,,,,Zambia,78,36.723186,Botswana,67,39.217693
35,2018-07-07,1,298554,35,38,22,,,,,Kenya,28,56.3026,Uganda,37,49.268524
124,2018-08-11,1,300329,124,39,27,,,,,Panama,-1,-1.0,Honduras,-1,-1.0
100,2018-07-08,1,298557,100,13,32,,,,,Botswana,67,39.217693,Zambia,78,36.723186
39,2018-07-07,1,298554,39,22,38,,,,,Uganda,37,49.268524,Kenya,28,56.3026
26,2018-07-07,1,299075,26,51,0,,,,,Hong Kong,21,60.457825,Cook Islands,55,45.106884
54,2018-07-07,1,299075,54,0,51,,,,,Cook Islands,55,45.106884,Hong Kong,21,60.457825
54,2018-06-30,1,299074,54,3,26,,,,,Cook Islands,54,45.106884,Hong Kong,21,60.457825
26,2018-06-30,1,299074,26,26,3,,,,,Hong Kong,21,60.457825,Cook Islands,54,45.106884
35,2018-08-11,1,298564,35,67,0,,,,,Kenya,28,56.3026,Tunisia,43,47.504204
64,2018-08-11,1,298564,64,0,67,,,,,Tunisia,43,47.504204,Kenya,28,56.3026
42,2018-08-04,1,298563,42,28,58,,,,,Zimbabwe,45,46.763416,Namibia,23,59.309612
82,2018-08-04,1,298563,82,58,28,,,,,Namibia,23,59.309612,Zimbabwe,45,46.763416
35,2018-06-30,1,298552,35,45,36,,,,,Kenya,28,56.3026,Zimbabwe,44,47.430325
42,2018-06-30,1,298552,42,36,45,,,,,Zimbabwe,44,47.430325,Kenya,28,56.3026
136,2018-06-26,1,299123,136,38,12,,,,,Philippines,56,44.225594,Singapore,58,43.48073
51,2018-06-26,1,299123,51,12,38,,,,,Singapore,58,43.48073,Philippines,56,44.225594
5,2018-06-23,1,299071,5,10,25,1.0,1.0,1.0,0.0,South Africa,5,84.64973,England,6,84.34818
1,2018-06-23,1,299071,1,25,10,1.0,1.0,2.0,0.0,England,6,84.34818,South Africa,5,84.64973
39,2018-08-11,1,298565,39,47,29,,,,,Uganda,36,50.192467,Morocco,41,48.09851
24,2018-08-11,1,298565,24,29,47,,,,,Morocco,41,48.09851,Uganda,36,50.192467
6,2018-06-23,1,297140,6,16,20,1.0,1.0,2.0,0.0,Australia,4,85.405334,Ireland,2,89.20031999999998
3,2018-06-23,1,297140,3,20,16,1.0,0.0,2.0,0.0,Ireland,2,89.20031999999998,Australia,4,85.405334
11,2018-06-16,1,298660,11,30,29,3.0,3.0,3.0,0.0,United States of America,15,69.38583,Scotland,6,83.832275
70,2018-06-16,1,299151,70,34,33,,,,,Trinidad and Tobago,-1,-1.0,USA South Panthers,-1,-1.0
2,2018-06-16,1,298660,2,29,30,4.0,2.0,1.0,0.0,Scotland,6,83.832275,United States of America,15,69.38583
173646,2018-06-16,1,299151,173646,33,34,,,,,USA South Panthers,-1,-1.0,Trinidad and Tobago,-1,-1.0
82,2018-06-16,1,298548,82,55,6,,,,,Namibia,24,58.926277,Uganda,37,49.268524
39,2018-06-16,1,298548,39,6,55,,,,,Uganda,37,49.268524,Namibia,24,58.926277
5,2018-06-16,1,299066,5,23,12,2.0,1.0,2.0,0.0,South Africa,7,83.81241999999997,England,4,85.185486
1,2018-06-16,1,299066,1,12,23,2.0,1.0,0.0,0.0,England,4,85.185486,South Africa,7,83.81241999999997
29,2018-06-10,1,299410,29,26,20,2.0,2.0,2.0,0.0,Uruguay,18,65.36683000000001,Argentina,9,78.221924
10,2018-06-10,1,299410,10,20,26,2.0,1.0,2.0,0.0,Argentina,9,78.221924,Uruguay,18,65.36683000000001
8,2018-06-09,1,296319,8,52,11,8.0,3.0,2.0,0.0,New Zealand,1,93.99275,France,8,79.103096
9,2018-06-09,1,296319,9,11,52,1.0,0.0,2.0,0.0,France,8,79.103096,New Zealand,1,93.99275
14,2018-06-09,1,299064,14,24,22,4.0,2.0,0.0,0.0,Fiji,10,77.93202,Samoa,16,69.03198
15,2018-06-09,1,299064,15,22,24,3.0,2.0,1.0,0.0,Samoa,16,69.03198,Fiji,10,77.93202
26,2018-06-02,1,299108,26,39,5,,,,,Hong Kong,22,60.43031,Korea,31,53.61375400000001
49,2018-06-02,1,299108,49,5,39,,,,,Korea,31,53.61375400000001,Hong Kong,22,60.43031
29,2018-06-06,1,299409,29,23,19,3.0,1.0,2.0,0.0,Uruguay,18,65.36683000000001,Emerging Italy,-1,-1.0
204,2018-06-06,1,299409,204,19,23,3.0,1.0,0.0,0.0,Emerging Italy,-1,-1.0,Uruguay,18,65.36683000000001
38,2018-05-20,1,299104,38,18,12,,,,,Thailand,74,37.676598,India,80,35.75454699999999
105,2018-05-20,1,299104,105,12,18,,,,,India,80,35.75454699999999,Thailand,74,37.676598
90,2018-05-19,1,299252,90,81,10,,,,,Lithuania,35,50.68526,Malta,37,49.665787
108,2018-05-19,1,299252,108,10,81,,,,,Malta,37,49.665787,Lithuania,35,50.68526
49,2018-05-19,1,299100,49,67,12,,,,,Korea,31,53.61375400000001,Malaysia,48,46.264854
36,2018-05-19,1,299100,36,12,67,,,,,Malaysia,48,46.264854,Korea,31,53.61375400000001
73,2018-05-12,1,299146,73,29,37,,,,,Barbados,83,34.875065,Jamaica,64,40.372196
60,2018-05-12,1,299146,60,37,29,,,,,Jamaica,64,40.372196,Barbados,83,34.875065
31,2018-05-12,1,297111,31,50,27,,,,,Sweden,60,42.8409,Latvia,57,44.057556
87,2018-05-12,1,297111,87,27,50,,,,,Latvia,57,44.057556,Sweden,60,42.8409
85,2018-03-24,1,297093,85,56,0,,,,,Austria,79,35.794575,Slovakia,-1,-1.0
134,2018-03-24,1,297093,134,0,56,,,,,Slovakia,-1,-1.0,Austria,79,35.794575
81,2018-03-18,1,297088,81,25,16,3.0,2.0,2.0,0.0,Georgia,12,73.80074,Romania,17,68.406784
12,2018-03-18,1,297088,12,16,25,1.0,1.0,2.0,0.0,Romania,17,68.406784,Georgia,12,73.80074
1,2018-03-17,1,295095,1,15,24,3.0,0.0,0.0,0.0,England,3,87.49721,Ireland,2,87.84631
3,2018-03-17,1,295095,3,24,15,3.0,3.0,1.0,0.0,Ireland,2,87.84631,England,3,87.49721
72,2018-03-17,1,297086,72,17,24,,,,,Israel,58,43.63931,Malta,39,48.89095
108,2018-03-17,1,297086,108,24,17,,,,,Malta,39,48.89095,Israel,58,43.63931
88,2018-03-17,1,297087,88,20,17,,,,,Bosnia and Herzegovina,-1,-1.0,Andorra,67,38.878357
80,2018-03-17,1,297087,80,17,20,,,,,Andorra,67,38.878357,Bosnia and Herzegovina,-1,-1.0
56,2018-03-17,1,297084,56,30,24,,,,,Switzerland,33,52.667576,Poland,34,51.53581
13,2018-03-17,1,297084,13,24,30,,,,,Poland,34,51.53581,Switzerland,33,52.667576
22,2018-03-17,1,297085,22,27,10,,,,,Netherlands,27,55.73070500000001,Czechia,31,53.98651
91,2018-03-17,1,297085,91,10,27,,,,,Czechia,31,53.98651,Netherlands,27,55.73070500000001
4,2018-03-17,1,295096,4,14,13,1.0,0.0,2.0,0.0,Wales,7,83.072525,France,8,79.43983
9,2018-03-17,1,295096,9,13,14,1.0,1.0,1.0,1.0,France,8,79.43983,Wales,7,83.072525
20,2018-03-17,1,295094,20,27,29,3.0,2.0,2.0,0.0,Italy,14,71.13139,Scotland,6,83.79904
294101,2018-03-17,1,298889,294101,17,5,,,,,Gibraltar,-1,-1.0,Finland,98,28.529396
74,2018-03-17,1,298889,74,5,17,,,,,Finland,98,28.529396,Gibraltar,-1,-1.0
2,2018-03-17,1,295094,2,29,27,4.0,2.0,1.0,0.0,Scotland,6,83.79904,Italy,14,71.13139
9,2018-03-10,1,295092,9,22,16,1.0,0.0,3.0,0.0,France,10,77.55765,England,2,89.37938
1,2018-03-10,1,295092,1,16,22,1.0,1.0,3.0,0.0,England,2,89.37938,France,10,77.55765
